shadow_S,shadow_gap
37924.0,1814.0
38452.0,1972.0
36615.0,165.0
39730.0,1790.0
40633.0,2703.0
40126.0,3526.0
38288.0,3048.0
29560.0,-290.0
30539.0,19.0
30516.0,156.0
30328.0,-762.0
32247.0,-63.0
32225.0,135.0
31753.0,-1407.0
34953.0,533.0
36391.0,2711.0
33114.0,724.0
33320.0,760.0
33250.0,1880.0
30304.0,-1026.0
33086.0,1116.0
31503.0,-1737.0
30667.0,-3953.0
35137.0,-923.0
37828.0,268.0
41035.0,1965.0
41335.0,1275.0
42116.0,796.0
42294.0,684.0
39892.0,-518.0
42398.0,318.0
43927.0,1707.0
42160.0,1520.0
41558.0,1818.0
44784.0,5734.0
41122.0,3572.0
38061.0,1951.0
38559.0,2079.0
36517.0,67.0
39553.0,1613.0
40503.0,2573.0
39911.0,3311.0
37464.0,2224.0
29649.0,-201.0
30992.0,472.0
31188.0,828.0
31751.0,661.0
32836.0,526.0
32389.0,299.0
31847.0,-1313.0
35727.0,2047.0
33050.0,660.0
33414.0,2044.0
32441.0,1111.0
33041.0,1071.0
31416.0,-1824.0
30427.0,-4193.0
36476.0,416.0
37524.0,-36.0
40174.0,1104.0
41448.0,1388.0
41640.0,320.0
42296.0,686.0
40030.0,-380.0
42225.0,145.0
44160.0,1940.0
30641.0,791.0
30733.0,213.0
30871.0,511.0
30985.0,-345.0
33569.0,1599.0
32783.0,-457.0
29777.0,-4843.0
34760.0,-1300.0
36431.0,-1129.0
38862.0,-208.0
40004.0,-56.0
44987.0,3667.0
42124.0,514.0
41139.0,729.0
41607.0,-613.0
28606.0,-474.0
30900.0,980.0
30211.0,321.0
31403.0,313.0
30072.0,152.0
30287.0,397.0
26828.0,838.0
27542.0,2282.0
28686.0,-394.0
